timestamp X Y Z 
1692 96 -96 -896
1704 64 -96 -896
1716 -96 -80 -992
1728 -96 -80 -912
1740 -64 -48 -912
1746 -64 -48 -928
1758 192 -32 -928
1770 160 -128 -1184
1782 160 -128 -1200
1794 64 0 -1200
1806 64 16 -1120
1818 64 16 -1120
1830 64 0 -1040
1842 48 16 -1024
1854 48 16 -1024
1866 64 16 -1056
1878 64 16 -1056
1890 48 16 -1040
1902 64 0 -1056
1914 64 0 -1056
1926 48 0 -1104
1938 80 -16 -1120
1950 80 -16 -1120
1962 80 0 -1120
1974 80 -16 -1088
1986 96 -16 -1088
1998 96 -32 -1072
2010 96 -32 -1040
2022 64 -32 -1040
2034 48 -64 -1088
2046 48 -64 -1088
2058 32 -32 -1120
2070 32 -48 -1168
2082 32 -48 -1232
2094 16 -48 -1232
2100 16 -48 -1296
2112 16 -112 -1296
2124 96 -96 -1344
2136 96 -96 -1568
2148 64 -240 -1568
2160 -336 -496 -1840
2172 -336 -496 -2048
2190 -48 -496 -2048
2202 64 -528 -2048
2214 48 -512 -2048
2226 48 -512 -2048
2238 -208 -576 -2048
2250 -208 -720 -2048
2262 -352 -720 -2048
2274 -352 -800 -2048
2286 -352 -800 -2048
2298 -272 -800 -2048
2304 -432 -576 -2048
2322 -432 -576 -2048
2334 -560 -160 -2048
2340 -1040 496 -1840
2352 -1040 496 -2000
2364 -768 528 -2000
2376 -768 528 -336
2388 -80 -224 -336
2400 304 -656 -992
2412 304 -656 -1632
2424 -112 -352 -1632
2442 48 160 0
2454 48 160 928
2466 -144 288 928
2472 -224 368 128
2484 -224 368 -144
2502 -288 480 -144
2508 -192 416 -384
2520 -192 416 -384
2532 -32 128 -192
2544 -32 128 320
2556 -32 272 320
2568 -32 336 144
2580 -64 336 144
2592 80 288 -1568
2604 -48 80 368
2616 -48 80 368
2628 16 96 -752
2640 16 176 -128
2652 -96 176 -128
2664 -96 160 -176
2676 -96 160 -176
2688 -64 176 -128
2700 -64 176 -64
2712 -16 144 -16
2724 -16 144 -16
2736 -16 112 32
2748 -16 112 32
2760 -16 96 48
2772 -16 80 0
2784 -16 80 0
2796 16 48 16
2808 16 48 16
2820 64 16 16
2826 48 -16 -16
2844 48 -32 -96
2856 48 -64 -96
2868 32 -96 -144
2880 32 -96 -128
2892 80 -80 -128
2898 80 -80 -112
2910 128 -48 -112
2922 160 -48 -96
2934 160 -16 -112
2952 176 -16 -112
2964 160 0 -112
2976 160 0 -144
2988 144 16 -144
2994 208 144 -384
3012 208 144 -272
3024 208 32 -272
3030 256 64 -176
3042 256 64 -176
3054 224 80 -64
3066 224 80 -112
3078 192 96 -112
3090 192 112 -160
3102 160 112 -160
3114 176 64 -112
3126 208 16 -32
3138 208 16 -32
3150 128 48 80
3162 128 48 -48
3174 112 48 -48
3186 128 16 -208
3198 160 -16 -240
3210 160 -16 -240
3222 160 -48 -112
3234 176 -48 -64
3246 176 -48 -64
3258 160 -64 -80
3270 160 -64 -80
3282 160 -64 -48
3294 160 -64 16
3306 144 -64 16
3318 144 -64 -16
3330 144 -1488 -32
3342 688 -1488 -32
3354 -2032 -2032 -192
3366 -2032 -2032 2032
3378 2048 -2032 2032
3390 960 640 400
3402 960 640 400
3408 -576 608 -896
3420 -576 608 -320
3432 2048 496 -320
3450 2048 -160 -1600
3462 2048 272 -1088
3474 2048 272 -1088
3486 2048 592 -656
3498 2048 -2032 720
3510 2048 -2032 720
3522 1216 1120 -960
3534 1216 1120 1120
3546 -2032 1856 1120
3558 208 -576 560
3570 208 -576 -192
3582 384 -1104 -192
3588 1120 -944 -48
3600 1120 -944 -48
3612 704 -656 -320
3624 704 -656 -288
3636 496 -464 -288
3648 608 -544 -176
3660 608 -544 -208
3672 608 -592 -208
3684 704 -704 -208
3702 704 -704 -304
3714 816 -752 -304
3726 704 -768 -432
3738 704 -768 -496
3750 592 -672 -496
3756 608 -640 -432
3768 608 -640 -432
3780 576 -640 -416
3792 576 -640 -432
3804 608 -624 -432
3816 608 -560 -448
3828 608 -560 -480
3840 576 -608 -480
3852 576 -624 -496
3864 576 -624 -496
3876 560 -624 -512
3888 560 -624 -544
3900 560 -624 -544
3912 576 -608 -544
3924 576 -608 -480
3936 512 -608 -464
3948 512 -656 -464
3960 512 -656 -592
3972 528 -608 -592
3984 528 -560 -560
3996 544 -560 -800
4008 480 -464 -800
4020 480 -464 -608
4032 512 -464 -608
4044 400 -480 -640
4056 432 -480 -816
4068 432 -480 -816
4080 480 -560 -800
4092 480 -512 -736
4104 384 -512 -736
4116 512 -608 -720
4128 512 -576 -688
4140 544 -576 -688
4152 192 -400 -848
4164 192 -304 -832
4176 192 -304 -832
4188 144 -288 -1264
4200 144 -160 -1232
4212 144 -160 -1232
4224 144 -368 -848
4236 144 -304 -528
4248 16 -304 -528
4260 288 -352 -1168
4272 288 -352 -1168
4284 224 -320 -1104
4296 224 -288 -1104
4308 48 -288 -1104
4320 176 -400 -816
4332 176 -400 -496
4344 400 -480 -496
4350 256 -368 -944
4368 256 -368 -1136
4380 304 -288 -1136
4386 288 -416 -208
4398 288 -416 -208
4410 -304 -192 -1104
4422 -304 -192 -1456
4434 304 -304 -1456
4452 128 -336 -912
4464 16 -304 -656
4476 16 -304 -656
4488 96 -320 -880
4500 96 -320 -1104
4512 208 -336 -1104
4518 160 -320 -1040
4530 160 -320 -912
4542 176 -320 -912
4554 96 -320 -832
4566 96 -320 -912
4578 160 -320 -912
4590 192 -320 -976
4602 192 -320 -976
4614 192 -320 -880
4626 176 -304 -880
4638 144 -304 -880
4650 224 -336 -1056
4662 224 -336 -1056
4674 224 -320 -1088
4686 384 -496 64
4698 384 -496 -1088
4710 -176 -64 -1088
4722 240 -64 -1456
4734 240 -64 -1168
4746 160 48 -1168
4758 176 -208 -1136
4770 208 -304 -928
4782 272 -240 -928
4794 272 -224 -1072
4806 272 -224 -1072
4818 272 -224 -1120
