timestamp X Y Z 
1692 240 384 -992
1704 240 384 -992
1716 240 400 -976
1728 240 400 -992
1740 240 400 -992
1746 256 416 -992
1758 256 416 -992
1770 240 400 -976
1782 240 400 -1024
1794 224 416 -1024
1806 240 384 -928
1818 240 384 -928
1830 272 384 -928
1842 272 400 -960
1854 240 400 -960
1866 256 384 -928
1878 256 416 -1040
1890 240 416 -1040
1902 272 448 -1008
1914 272 448 -1008
1926 256 528 -1088
1938 288 496 -1104
1950 288 496 -912
1962 576 352 -912
1974 464 464 -1296
1986 464 464 -1392
1998 576 656 -1392
2010 576 2048 -1648
2022 -1600 2048 -1648
2034 1360 816 -1456
2046 1360 1328 -1904
2058 800 1328 -1904
2070 1568 1120 -2048
2082 1568 1488 -1936
2094 1712 1488 -1936
2106 1424 1568 -2048
2118 1424 1568 -2048
2130 1824 1696 -2048
2142 1792 1600 -2048
2154 1792 1600 -2048
2166 1776 1696 -2048
2178 1840 1568 -2048
2190 1840 1568 -2048
2202 1664 1456 -2048
2214 1664 1248 -2048
2226 1456 480 -1584
2238 704 480 -1584
2250 704 32 -2048
2262 256 32 -2048
2274 192 -96 320
2286 192 -16 2000
2298 128 -16 2000
2310 512 -96 720
2322 512 -80 -256
2334 432 -80 -256
2346 176 -64 0
2358 176 -64 0
2370 96 -128 64
2382 16 -64 -144
2394 16 -64 -144
2400 -64 128 0
2412 -64 128 96
2424 -128 208 96
2442 -160 208 -32
2454 -160 240 -80
2466 -128 240 -80
2478 -32 272 0
2490 -32 272 0
2502 80 272 0
2514 144 272 -48
2526 144 272 -48
2538 160 256 -48
2544 160 256 -48
2556 160 256 -48
2568 176 256 -48
2580 176 256 -32
2592 176 240 -32
2604 208 224 -32
2616 208 224 -32
2628 224 224 -32
2640 224 208 -48
2652 208 208 -48
2664 192 176 -48
2676 192 144 -48
2688 192 144 -48
2700 192 112 -32
2712 192 112 -32
2724 192 112 -32
2736 176 112 -16
2748 176 112 -48
2760 144 112 -48
2772 144 128 -48
2784 128 128 -48
2796 112 144 -32
2808 112 144 -32
2820 96 144 -32
2832 80 160 -32
2844 80 160 -32
2856 64 160 -16
2868 64 160 16
2880 80 176 16
2886 80 176 16
2898 80 176 32
2910 96 176 32
2922 112 160 64
2934 112 144 80
2952 128 144 80
2964 128 144 112
2976 128 144 112
2988 144 112 112
3000 144 112 128
3012 144 112 128
3018 160 80 208
3030 160 80 304
3048 176 80 304
3054 160 80 272
3066 160 80 304
3078 128 96 304
3090 128 96 288
3102 112 80 288
3114 112 48 256
3126 96 48 256
3138 96 32 368
3150 96 16 464
3162 112 16 464
3174 112 16 496
3186 112 32 384
3198 128 32 384
3210 128 32 272
3222 128 32 272
3234 256 -2032 -1984
3246 256 -1952 -2048
3258 2048 -1952 -2048
3270 -320 -160 2032
3282 -2032 672 1792
3294 -2032 672 1792
3306 -416 -976 2032
3318 464 -1744 288
3330 464 -1744 288
3342 432 -2032 480
3354 432 -1600 -320
3366 480 -1600 -320
3378 -176 -992 448
3390 -176 2048 -2048
3402 -2032 2048 -2048
3414 -1024 -1152 -592
3426 -1024 -1152 1136
3438 -1392 -1600 1136
3450 -752 -1664 1760
3462 -752 48 -2048
3474 352 48 -2048
3486 -32 -576 -2048
3498 -32 -576 -2048
3510 -1072 -80 -416
3522 -448 -688 -736
3534 -448 -688 -736
3546 -512 -864 -1088
3558 -512 -592 -1056
3570 -672 -592 -1056
3582 -768 -96 -688
3594 -768 -272 -560
3606 -752 -272 -560
3618 -496 -608 -608
3630 -496 -608 -688
3642 -512 -544 -688
3648 -512 -544 -752
3666 -560 -400 -752
3672 -352 -336 -992
3684 -352 -208 -960
3702 -416 -208 -960
3714 -448 -240 -848
3726 -448 -352 -896
3738 -336 -352 -896
3750 -272 -448 -848
3762 -272 -448 -848
3774 -256 -432 -1136
3786 -352 -368 -1200
3798 -352 -368 -1200
3804 -576 -320 -928
3816 -576 -320 -672
3834 -496 -224 -672
3840 -592 -272 -976
3852 -592 -272 -944
3864 -656 -176 -944
3876 128 -640 -1024
3888 128 -640 -1184
3900 448 -704 -1184
3912 -576 -128 -848
3924 -576 -128 -544
3936 -1488 176 -544
3954 -624 -256 -1088
3966 -624 -256 -496
3978 -720 -160 -496
3984 -688 -128 -640
4002 -688 -128 -688
4014 -784 -112 -688
4020 -640 -240 -880
4032 -640 -240 -400
4044 -320 -480 -400
4056 -320 -480 -976
4068 -432 -352 -976
4080 -640 -256 -1040
4092 -640 -256 -848
4104 -624 -240 -848
4116 -624 -208 -896
4128 -624 -208 -896
4140 -848 -64 -1136
4152 -848 -464 -1088
4164 -160 -464 -1088
4176 -512 -224 -672
4188 -624 -240 -816
4200 -624 -240 -1008
4212 -592 -128 -1008
4224 -608 -272 -816
4236 -608 -272 -384
4248 -672 -128 -384
4260 -672 -128 -480
4272 -512 -288 -480
4284 -512 -144 -912
4296 -320 -144 -1280
4308 -528 -144 -1280
4320 -528 -256 -1024
4332 -624 -256 -1024
