timestamp X Y Z 
1692 32 208 -1008
1704 32 208 -1008
1716 48 224 -1024
1728 48 224 -1008
1740 16 240 -1008
1746 16 192 -1008
1758 16 192 -1008
1770 16 192 -1008
1782 16 192 -1024
1794 48 224 -1024
1806 48 224 -1024
1818 48 224 -1040
1830 64 192 -1040
1842 64 208 -1024
1854 48 208 -1024
1866 48 224 -1040
1878 48 208 -1024
1890 48 208 -1024
1902 32 192 -1008
1914 32 192 -1008
1926 16 192 -992
1938 32 192 -1008
1950 32 192 -1024
1962 32 208 -1024
1974 32 208 -1040
1986 32 208 -1040
1998 48 208 -1040
2010 32 192 -1008
2022 32 192 -1008
2034 16 176 -1008
2046 16 192 -1024
2058 32 192 -1024
2070 64 208 -1024
2082 64 208 -1024
2094 80 160 -1008
2106 -16 208 -1024
2118 -16 208 -1008
2130 48 208 -1008
2136 48 208 -960
2148 0 208 -960
2160 -16 208 -976
2172 -16 208 -944
2190 96 176 -944
2202 0 96 -864
2214 0 48 -896
2226 -64 48 -896
2238 0 208 -1120
2250 0 208 -1104
2262 272 240 -1104
2268 176 304 -1072
2280 176 304 -1072
2292 -32 176 -1168
2304 -32 176 -1248
2316 -144 176 -1248
2328 80 240 -1680
2340 288 464 -2048
2352 400 432 -2048
2364 -304 944 -2048
2376 -304 944 -2048
2388 -128 560 -2048
2400 -128 1232 -2048
2412 -112 1232 -2048
2424 112 1472 -2048
2442 64 1456 -2048
2454 64 1456 -2048
2466 -720 1584 -2048
2472 -624 624 -2048
2490 -624 624 -2048
2502 -16 -96 -2048
2508 -544 -48 -1568
2520 -544 -48 -2048
2532 -288 -1072 -2048
2544 -960 1088 -1456
2556 -960 1088 -1456
2568 432 -240 304
2580 432 -240 288
2592 224 -48 288
2604 224 -96 272
2616 400 -96 272
2628 512 0 304
2640 464 64 240
2652 464 64 240
2664 368 64 304
2676 368 16 240
2688 208 16 128
2700 80 0 128
2712 80 -48 0
2724 -16 -48 0
2736 -48 -48 -32
2748 -48 -48 -16
2760 0 -48 -16
2772 48 -64 0
2784 48 -64 0
2796 96 -32 64
2808 80 -192 -240
2820 80 -192 -240
2832 112 64 32
2844 112 64 32
2856 64 48 32
2862 16 16 48
2874 16 16 -48
2886 -32 -32 -48
2898 -32 -32 0
2910 -32 -32 0
2922 -32 -32 -112
2934 -48 -32 -80
2952 -32 -16 -80
2958 -16 0 -80
2970 -16 0 -80
2982 -32 16 -80
2994 -32 64 -16
3006 -32 64 0
3018 -48 80 0
3030 -48 112 0
3042 -64 128 48
3054 -64 144 48
3066 -64 144 64
3078 -64 144 64
3090 -64 144 80
3102 -64 144 80
3114 -64 128 96
3126 -48 128 128
3138 -48 128 128
3150 -48 128 144
3162 -48 112 176
3174 -48 112 176
3186 -48 96 208
3198 -48 112 224
3210 -32 112 224
3222 -32 96 256
3234 -32 80 272
3246 -32 80 272
3258 -16 64 288
3270 -16 64 288
3282 -16 48 288
3294 -16 32 304
3306 -16 32 304
3318 0 16 320
3330 0 16 368
3342 16 16 368
3348 32 0 432
3360 32 0 368
3372 32 -16 368
3384 48 -16 352
3396 48 -16 352
3408 48 -32 256
3420 48 -48 224
3432 64 -48 224
3444 64 -64 192
3456 64 -64 160
3468 80 -64 160
3480 80 -80 112
3492 80 -80 48
3504 80 -64 48
3516 80 112 528
3528 80 112 528
3540 32 -16 -112
3552 32 0 16
3564 32 0 16
3576 2048 2048 -2048
3588 2048 2048 -2048
3600 -1024 2048 -752
3612 2048 -448 -672
3624 2048 -448 -672
3636 -784 -272 608
3648 -2032 2048 2032
3660 -2032 2048 2032
3672 432 704 -2048
3684 432 704 -2048
3696 -1168 320 -2048
3702 -1680 -304 -1504
3720 -1520 16 -1168
3732 -1520 16 -1168
3744 -1184 176 -1168
3756 -144 -480 -544
3768 -144 -480 -544
3780 -160 -304 -672
3792 -160 -272 -624
3804 -640 -272 -624
3816 -656 -288 -848
3828 -656 -288 -848
3840 -704 -256 -992
3852 -704 -256 -1168
3864 -640 -32 -1168
3876 -560 208 -864
3888 -560 208 -640
3900 -368 48 -640
3906 -400 160 -800
3918 -400 160 -752
3930 -528 16 -752
3942 -528 -16 -976
3954 -528 112 -1056
3972 -624 112 -1056
3984 -672 608 -1088
3996 -672 608 -1088
4008 -720 128 -1104
4020 288 -704 -1152
4032 288 -704 -720
4044 -416 -16 -720
4056 -416 -16 -208
4068 -352 -16 -208
4074 -208 32 -704
4086 -208 32 -640
4098 -336 32 -640
4110 -608 -176 -800
4122 -608 -176 -1056
4134 -928 -176 -1056
4146 -752 -32 -912
4158 -752 -32 -1072
4170 -816 -128 -1072
4182 -816 -80 -912
4194 -736 -80 -912
4206 -592 -32 -1008
4218 -480 112 -864
4230 -480 112 -880
4242 -432 176 -880
4254 -432 176 -992
4266 -480 128 -992
4278 -512 32 -1120
4290 -512 32 -1216
4302 -624 -32 -1216
4314 -624 -48 -1328
4326 -656 -48 -1328
4338 -688 32 -1456
4350 -640 80 -1392
4362 -656 272 -1440
4374 -608 272 -1440
4386 -608 192 -192
4398 -176 192 -192
4410 -512 -16 896
4422 1920 2048 -1424
4434 1920 2048 -1424
4446 272 -448 -528
4458 -208 160 1104
4470 -208 160 128
4482 -976 144 128
4494 -480 -1456 2032
4506 -480 -1456 2032
4518 -2032 1984 -2048
4530 -2032 1984 2032
4542 -128 1200 2032
4554 -128 -112 2032
4566 512 48 576
4578 -96 48 576
4590 -768 -96 -1504
4602 -768 -96 -1504
4614 -1344 96 -544
4626 -720 816 2032
4638 -720 816 2032
4650 -992 256 64
4662 -992 176 144
4674 -896 176 144
4686 -896 176 688
4698 -896 176 688
4710 -800 192 1952
4722 -800 384 1136
4734 -544 -432 -864
4746 -1024 -432 -864
4758 -928 -352 928
4770 -928 -352 928
4782 -1120 -176 192
4794 -864 -240 -112
4806 -864 -240 -112
4818 -704 -272 -240
4830 -704 672 -944
4842 -1056 672 -944
4854 -336 -592 -400
4866 -336 -16 64
4878 -944 -16 64
4890 192 32 -448
4902 192 32 32
4914 -1296 -368 32
4920 -1296 -368 -336
4932 -704 160 -336
4944 -720 224 -592
4962 -816 -304 -1392
4974 -816 -304 -1392
4986 -480 112 -832
4998 -544 128 -800
5010 -544 128 -800
5022 -464 112 -1200
5034 -464 48 -1136
5046 -432 48 -1136
5058 -448 128 -1120
5070 -448 128 -1088
5082 -320 64 -1088
5088 -128 -48 -992
5100 -128 -48 -1184
5112 -96 -48 -1184
5124 -32 -64 -1152
5136 -32 -64 -1072
5148 -32 -96 -1072
5160 -32 -96 -1072
5172 -48 -96 -1072
5184 -48 16 -912
5196 -288 -48 -960
5214 -64 -48 -960
5220 160 -144 -1120
